7772
NON DEL DUP INV
0.9373333333333334 0.058 0.004666666666666666 0.0 
0.51425 0.014 0.00575 0.466 
0.6887499999999999 0.218 0.09324999999999999 0.0 
0.46138333333333337 0.519 0.019616666666666664 0.0 
0.6796333333333332 0.296 0.021366666666666662 0.003 
0.6767333333333333 0.295 0.023266666666666668 0.005 
0.8270333333333334 0.163 0.009966666666666665 0.0 
0.7155 0.281 0.0035 0.0 
0.9823333333333333 0.013 0.004666666666666666 0.0 
0.5318499999999999 0.175 0.29315 0.0 
0.945 0.049 0.006 0.0 
0.88515 0.098 0.01485 0.002 
0.8064666666666667 0.182 0.0015333333333333332 0.01 
0.959 0.041 0.0 0.0 
0.8944166666666666 0.091 0.014583333333333332 0.0 
0.0745 0.924 0.0015 0.0 
0.995 0.0 0.005 0.0 
0.7433666666666666 0.227 0.027633333333333333 0.002 
0.904 0.096 0.0 0.0 
0.30795 0.007 0.6800499999999999 0.005 
0.993 0.006 0.001 0.0 
0.874 0.125 0.0 0.001 
0.7489333333333333 0.244 0.007066666666666667 0.0 
0.649 0.351 0.0 0.0 
0.3835 0.612 0.0045 0.0 
0.8125 0.165 0.0075 0.015 
0.8388333333333333 0.155 0.005166666666666666 0.001 
0.6839333333333334 0.295 0.019066666666666662 0.002 
0.6386666666666667 0.359 0.0023333333333333335 0.0 
0.043 0.957 0.0 0.0 
